"lon","lat","iso3c","area_ha","prod"
-79.922589,-2.511967,"ECU",NA,NA
-79.922589,-2.511967,"ECU",NA,NA
-80.021494,-2.290592,"ECU",NA,NA
-80.021494,-2.290592,"ECU",NA,NA
-80.028358,-2.606158,"ECU",NA,NA
-80.028358,-2.606158,"ECU",NA,NA
-110.3975,27.272367,"MEX",NA,NA
-110.329133,27.191183,"MEX",NA,NA
-110.3728,27.29255,"MEX",NA,NA
-111.928333,28.772222,"MEX",NA,NA
-111.787917,28.6457,"MEX",NA,NA
106.711667,10.079722,"VNM",NA,NA
106.134978,9.427531,"VNM",NA,NA
-79.963194,0.247472,"ECU",NA,NA
-79.964278,0.235194,"ECU",NA,NA
-79.956805,0.227277,"ECU",NA,NA
-79.957638,0.2395,"ECU",NA,NA
-79.965,0.226944,"ECU",NA,NA
-79.981611,0.231277,"ECU",NA,NA
-79.938975,0.211606,"ECU",NA,NA
-79.903944,0.245833,"ECU",NA,NA
-80.003611,0.158333,"ECU",NA,NA
-80.007361,0.129111,"ECU",NA,NA
-80.023138,0.125138,"ECU",NA,NA
-79.822725,-2.481078,"ECU",NA,NA
105.885528,9.323583,"VNM",NA,NA
105.887333,9.321278,"VNM",NA,NA
-80.035094,-2.590506,"ECU",NA,NA
106.133,9.436278,"VNM",NA,NA
148.426239,-20.239719,"AUS",NA,NA
106.251667,9.566722,"VNM",NA,NA
109.183972,14.1955,"VNM",NA,NA
105.741621,9.226196,"VNM",NA,NA
105.793278,9.267528,"VNM",NA,NA
105.789892,9.240841,"VNM",NA,NA
105.793278,9.267528,"VNM",NA,NA
105.791878,9.236042,"VNM",NA,NA
105.78606,9.237747,"VNM",NA,NA
105.793124,9.239125,"VNM",NA,NA
-80.146826,-2.543813,"ECU",NA,NA
-79.752065,-2.371404,"ECU",NA,NA
-75.515864,10.136408,"COL",NA,NA
99.220625,9.215414,"THA",NA,NA
105.083709,8.796178,"VNM",NA,NA
105.08843,8.79991,"VNM",NA,NA
82.094944,16.856667,"IND",NA,NA
82.105957,16.846087,"IND",NA,NA
82.093417,16.847194,"IND",NA,NA
-80.126753,-2.497036,"ECU",NA,NA
-80.121214,-2.490667,"ECU",NA,NA
-80.134708,-2.503639,"ECU",NA,NA
-80.135197,-2.479525,"ECU",NA,NA
105.585861,9.169417,"VNM",NA,NA
99.227917,9.504867,"THA",NA,NA
87.943056,22.125,"IND",NA,NA
99.585645,9.247044,"THA",NA,NA
102.123611,12.499917,"THA",NA,NA
80.171784,14.592678,"IND",NA,NA
80.012812,14.191602,"IND",NA,NA
80.031307,14.298792,"IND",NA,NA
80.01283,14.19152,"IND",NA,NA
99.50038,9.199725,"THA",NA,NA
-48.466718,-0.952238,"BRA",70,NA
-44.263791,-2.365963,"BRA",64,NA
-41.551117,-2.859201,"BRA",425,NA
-38.627546,-3.646201,"BRA",982,NA
-35.667111,-5.100375,"BRA",1752,NA
-34.818058,-7.089602,"BRA",420,NA
-34.840892,-8.11531,"BRA",670,NA
-35.739681,-9.700209,"BRA",20,NA
-37.030238,-10.991527,"BRA",47,NA
-38.515139,-13.046432,"BRA",1510,NA
-48.268714,-25.535885,"BRA",50,NA
-48.393581,-27.505551,"BRA",200,NA
114.535353,4.716865,"BRN",14,NA
114.541318,4.722253,"BRN",40,NA
114.574539,4.742089,"BRN",92,NA
114.610558,4.761099,"BRN",0.4,NA
114.607222,4.781321,"BRN",200,NA
115.043816,4.970718,"BRN",51.471511,NA
-85.808336151898,10.9587083946265,"CRI",NA,NA
-85.8839922902918,10.9229029245051,"CRI",NA,NA
-85.8670373048577,10.8716026191228,"CRI",NA,NA
-85.7942308009717,10.8305160369894,"CRI",NA,NA
-85.7194592512114,10.7928982444745,"CRI",NA,NA
-85.6680483995869,10.7324040955156,"CRI",NA,NA
-85.6658653468068,10.6493168329855,"CRI",NA,NA
-85.6970097471033,10.5745365413585,"CRI",NA,NA
-85.7465195937726,10.5072015358764,"CRI",NA,NA
-85.7976315723891,10.4409184414316,"CRI",NA,NA
-85.8358595253031,10.3689244179504,"CRI",NA,NA
-85.8478872957082,10.286739676618,"CRI",NA,NA
-85.8213675326197,10.2073508541491,"CRI",NA,NA
-85.7936310973841,10.1285554728138,"CRI",NA,NA
-85.7473962241418,10.0587828459209,"CRI",NA,NA
-85.7011613508996,9.98901021902797,"CRI",NA,NA
-85.6476214220376,9.92520931266261,"CRI",NA,NA
-85.5754541079952,9.88787421665152,"CRI",NA,NA
-85.4951708262954,9.86419980753976,"CRI",NA,NA
-85.4148875445957,9.84052539842799,"CRI",NA,NA
-85.334604262896,9.81685098931623,"CRI",NA,NA
-85.2741302220223,9.76288276580862,"CRI",NA,NA
-85.2202516579219,9.69882823202877,"CRI",NA,NA
-85.1663730938216,9.63477369824892,"CRI",NA,NA
-85.1061571717993,9.58628045316574,"CRI",NA,NA
-85.0642511321646,9.65095234501983,"CRI",NA,NA
-85.0016043757778,9.6990902252172,"CRI",NA,NA
-84.9440785158148,9.75986282066939,"CRI",NA,NA
-84.8866274208626,9.82073362365451,"CRI",NA,NA
-84.9203395969856,9.89533441796923,"CRI",NA,NA
-84.9873258552911,9.94385589040314,"CRI",NA,NA
-85.0643787832806,9.97654731520385,"CRI",NA,NA
-85.1414317112702,10.0092387400046,"CRI",NA,NA
-85.2011581376698,10.0653995402466,"CRI",NA,NA
-85.2415898243374,10.1357392457066,"CRI",NA,NA
-85.2563065020536,10.218136468744,"CRI",NA,NA
-85.227277598354,10.231570786382,"CRI",NA,NA
-85.1644730785978,10.1797219601843,"CRI",NA,NA
-85.0884032642839,10.1448039660047,"CRI",NA,NA
-85.0135736536258,10.1077184013246,"CRI",NA,NA
-84.9449233639738,10.0598329056296,"CRI",NA,NA
-84.8762730743217,10.0119474099347,"CRI",NA,NA
-84.8076227846696,9.96406191423972,"CRI",NA,NA
-84.7389724950175,9.91617641854476,"CRI",NA,NA
-84.6851860176478,9.85387133796147,"CRI",NA,NA
-84.6450869122926,9.78302223500785,"CRI",NA,NA
-84.6703501388086,9.70322466390907,"CRI",NA,NA
-84.6406513572025,9.62820241654473,"CRI",NA,NA
-84.5818569710665,9.56862806697923,"CRI",NA,NA
-84.5049467030853,9.53567360943518,"CRI",NA,NA
-84.4248903274563,9.51203953634458,"CRI",NA,NA
-84.3435861606339,9.49215196674481,"CRI",NA,NA
-84.2622819938116,9.47226439714504,"CRI",NA,NA
-84.1890104569908,9.43598918034352,"CRI",NA,NA
-84.1234868657678,9.38390711087137,"CRI",NA,NA
-84.0484373499663,9.34726563054046,"CRI",NA,NA
-83.9724948719204,9.31207155439798,"CRI",NA,NA
-83.8965523938746,9.27687747825549,"CRI",NA,NA
-83.8308970426831,9.22501073969886,"CRI",NA,NA
-83.7653783677775,9.1729224856881,"CRI",NA,NA
-83.7059037373347,9.11452701802045,"CRI",NA,NA
-83.6510720013313,9.05128649545691,"CRI",NA,NA
-83.6204160799374,8.97504800048605,"CRI",NA,NA
-83.6150982150817,8.89193799721102,"CRI",NA,NA
-83.6137864459119,8.8082471241787,"CRI",NA,NA
-83.6418858881111,8.72970244330523,"CRI",NA,NA
-83.6940575230392,8.66430299069929,"CRI",NA,NA
-83.7203574786031,8.60022083125862,"CRI",NA,NA
-83.6622563135024,8.53997020818133,"CRI",NA,NA
-83.6040074570762,8.47991026965983,"CRI",NA,NA
-83.5293131366024,8.44468881790905,"CRI",NA,NA
-83.4461446434265,8.43662538497325,"CRI",NA,NA
-83.3658290126502,8.41374894430048,"CRI",NA,NA
-83.2912009100938,8.41497454559708,"CRI",NA,NA
-83.2960677973778,8.49803269404591,"CRI",NA,NA
-83.3531076571646,8.55703003367794,"CRI",NA,NA
-83.4151397511436,8.61322524952273,"CRI",NA,NA
-83.4576663695481,8.68480336504002,"CRI",NA,NA
-83.4117008788017,8.71490309926104,"CRI",NA,NA
-83.3349888094421,8.68921593506626,"CRI",NA,NA
-83.2614727514955,8.64934300652524,"CRI",NA,NA
-83.1902499735031,8.60537484915755,"CRI",NA,NA
-83.1436059751543,8.54080108124828,"CRI",NA,NA
-83.1277175448179,8.45981683619518,"CRI",NA,NA
-83.1242876350118,8.37618598850136,"CRI",NA,NA
-83.0759915886969,8.31529920988273,"CRI",NA,NA
-83.0152059195926,8.25820193058158,"CRI",NA,NA
-82.9596104237483,8.19563177947833,"CRI",NA,NA
-82.9132982630409,8.12618418458788,"CRI",NA,NA
-82.8671575818978,8.08472300711969,"CRI",NA,NA
-77.737212,19.841789,"CUB",NA,NA
-77.593449,20.047065,"CUB",NA,NA
50.691944,29.2127779878214,"IRN",NA,NA
50.689722,29.3208329878677,"IRN",NA,NA
50.613056,29.5361109879609,"IRN",NA,NA
51.1475,28.7724999876366,"IRN",NA,NA
51.343056,28.1599999873902,"IRN",NA,NA
51.002778,29.0722219877617,"IRN",NA,NA
56.869167,27.1083329869989,"IRN",NA,NA
56.858333,27.0866669869914,"IRN",NA,NA
61.458333,25.1672219864007,"IRN",NA,NA
61.444444,25.1927779864074,"IRN",NA,NA
48.579097,30.05293698819,"IRN",NA,NA
55.399444,26.7849999868876,"IRN",NA,NA
53.507778,26.9313889869375,"IRN",NA,NA
51.057222,28.7569439876302,"IRN",NA,NA
130.604815,31.182129,"JPN",NA,NA
104.215237436798,10.5545655665604,"KHM",1516,NA
104.404236625661,10.4453604331596,"KHM",459,NA
102.893734973542,11.7394298718815,"KHM",26762,NA
103.653711513465,10.7445713880814,"KHM",6388,NA
126.150252,36.752683,"KOR",672,NA
81.8158257843336,7.44509348245369,"LKA",2.583333,NA
81.8049040521714,7.45633200518965,"LKA",2.583333,NA
81.7951424091318,7.46834690097787,"LKA",2.583333,NA
81.788917917047,7.48272898444987,"LKA",2.583333,NA
81.7826934249622,7.49711106792187,"LKA",2.583333,NA
81.7764689328774,7.51149315139388,"LKA",2.583333,NA
81.7702444407926,7.52587523486588,"LKA",2.583333,NA
81.7640199487078,7.54025731833788,"LKA",2.583333,NA
81.757795456623,7.55463940180988,"LKA",2.583333,NA
81.7515709645382,7.56902148528189,"LKA",2.583333,NA
81.7453464724533,7.58340356875389,"LKA",2.583333,NA
81.7391219803686,7.59778565222589,"LKA",2.583333,NA
81.7328974882837,7.61216773569789,"LKA",2.583333,NA
81.7263329944292,7.62635285745631,"LKA",2.583333,NA
81.716953338227,7.63890716652686,"LKA",2.583333,NA
81.7075736820249,7.65146147559742,"LKA",2.583333,NA
81.6981940258228,7.66401578466798,"LKA",2.583333,NA
81.6888143696206,7.67657009373853,"LKA",2.583333,NA
81.6814969417498,7.69010473168464,"LKA",2.583333,NA
81.6776829051523,7.70530478930107,"LKA",2.583333,NA
81.6770536401049,7.72077022504035,"LKA",2.583333,NA
81.6782993877374,7.7363919003521,"LKA",2.583333,NA
81.6754711436015,7.75153415822393,"LKA",2.583333,NA
81.6706330042052,7.76643989651128,"LKA",2.583333,NA
81.6657948648088,7.78134563479862,"LKA",2.583333,NA
81.657265133212,7.79443959228345,"LKA",2.583333,NA
81.6484340161621,7.80738563408631,"LKA",2.583333,NA
81.6396028991123,7.82033167588916,"LKA",2.583333,NA
81.6307717820624,7.83327771769202,"LKA",2.583333,NA
81.6219406650126,7.84622375949488,"LKA",2.583333,NA
81.6131095479627,7.85916980129774,"LKA",2.583333,NA
81.6042784309129,7.8721158431006,"LKA",2.583333,NA
81.595447313863,7.88506188490346,"LKA",2.583333,NA
81.5866161968132,7.89800792670632,"LKA",2.583333,NA
81.5777850797634,7.91095396850917,"LKA",2.583333,NA
81.5689539627135,7.92390001031203,"LKA",2.583333,NA
81.5601228456637,7.93684605211489,"LKA",2.583333,NA
81.5512917286138,7.94979209391775,"LKA",2.583333,NA
81.542460611564,7.96273813572061,"LKA",2.583333,NA
81.5336294945141,7.97568417752347,"LKA",2.583333,NA
81.5247983774643,7.98863021932633,"LKA",2.583333,NA
